"ko","en","ja","zh-Hans","de","es","kind","note"
"별이 잠든 땅","The Land Where Stars Sleep","星の眠る地","星辰沉睡之地","Das Land, wo die Sterne schlafen","La tierra donde duermen las estrellas","title","부제. 영문 제목 Ashfall Chronicles 는 모든 언어에서 그대로"
"잿빛","Ashfall","灰色の災い","灰烬之灾","Aschefall","Caída de ceniza","concept","세계가 색을 잃어 가는 재앙의 이름. 형용사 '잿빛 ~'(잿빛 숲)은 ash-/灰/Asche- 로"
"떨어진 별","The Fallen Star","落ちた星","坠落之星","Der gefallene Stern","La estrella caída","concept","이야기의 발단 — 1장 제목과 같다"
"별 조각","Star Shard","星の欠片","星之碎片","Sternensplitter","Fragmento estelar","concept","주인공 손에 박힌 빛 조각"
"가라앉은 바다","Sunken Sea","沈んだ海","沉没之海","Versunkenes Meer","Mar Hundido","biome",""
"빙하 지대","Glacier Reach","氷河地帯","冰川地带","Gletscherland","Región Glaciar","biome",""
"서리 지대","Frostlands","霜の地","霜冻之地","Frostland","Tierras Heladas","biome",""
"잿빛 숲","Ashen Forest","灰の森","灰烬森林","Aschenwald","Bosque de Ceniza","biome",""
"울림 정글","Echoing Jungle","響きの密林","回响丛林","Hallender Dschungel","Selva Resonante","biome",""
"메마른 사구","Parched Dunes","乾いた砂丘","干涸沙丘","Dürre Dünen","Dunas Resecas","biome",""
"동쪽 숲","Eastern Woods","東の森","东方森林","Ostwald","Bosque del Este","biome",""
"버섯 골짜기","Mushroom Hollow","キノコの谷","蘑菇谷","Pilzsenke","Hondonada de Hongos","biome",""
"부패한 땅","Blighted Land","腐敗の地","腐化之地","Verdorbenes Land","Tierra Corrupta","biome",""
"하늘 섬","Sky Island","空島","天空岛","Himmelsinsel","Isla celeste","biome",""
"베이스캠프","Base Camp","ベースキャンプ","营地","Basislager","Campamento base","place",""
"여명 마을","Dawnhold","暁の村","黎明村","Morgendorf","Aldea del Alba","place","되살리는 마을. 단계가 오르면 요새·교역지로 불린다"
"얼음 던전","Ice Dungeon","氷のダンジョン","冰之地牢","Eisverlies","Mazmorra de Hielo","ruin",""
"피라미드","Pyramid","ピラミッド","金字塔","Pyramide","Pirámide","ruin",""
"버려진 광산","Abandoned Mine","廃鉱","废弃矿坑","Verlassene Mine","Mina Abandonada","ruin",""
"부패한 둥지","Blighted Nest","腐敗の巣","腐化巢穴","Verdorbenes Nest","Nido Corrupto","ruin",""
"포자 굴","Spore Grotto","胞子の洞","孢子洞穴","Sporengrotte","Gruta de Esporas","ruin",""
"가라앉은 유적","Sunken Ruins","沈んだ遺跡","沉没遗迹","Versunkene Ruinen","Ruinas Hundidas","ruin",""
"심층 봉인실","Deep Vault","深層封印室","深层封印室","Tiefes Siegelgewölbe","Cámara Sellada Profunda","ruin",""
"폭풍 제단","Storm Altar","嵐の祭壇","风暴祭坛","Sturmaltar","Altar de la Tormenta","ruin","하늘 섬 신전"
"서리 밑 석실","Chamber Beneath the Frost","霜の下の石室","霜下石室","Kammer unter dem Frost","Cámara bajo la Escarcha","ruin","석판 유적"
"겹친 길","The Folded Path","重なる道","交叠之路","Der verschlungene Pfad","El Sendero Superpuesto","ruin","석판 유적"
"발 디딜 곳 없는 방","The Room Without Footing","足場なき部屋","无处落脚之室","Der Raum ohne Halt","La Sala sin Suelo","ruin","석판 유적"
"유적","ruin","遺跡","遗迹","Ruine","ruina","concept",""
"맥박","Pulse","脈動","脉动","Puls","Pulso","concept","유적이 깨어나는 정도. 단계: 잠듦·뒤척임·깨어남·격노"
"잠듦","Dormant","眠り","沉睡","Ruhend","Dormido","concept","맥박 1단계"
"뒤척임","Stirring","身じろぎ","躁动","Regend","Inquieto","concept","맥박 2단계"
"깨어남","Awake","目覚め","苏醒","Erwacht","Despierto","concept","맥박 3단계"
"격노","Frenzy","激昂","狂怒","Raserei","Frenesí","concept","맥박 4단계"
"탐사 기록","Survey Log","探査記録","探索记录","Erkundungsbuch","Registro de exploración","concept","유적마다 %와 등급(S~)"
"메아리 시련","Echo Trial","残響の試練","回响试炼","Echo-Prüfung","Prueba del Eco","concept","주인을 쓰러뜨린 뒤 다시 싸우는 강화 결전"
"메아리","Echo","残響","回响","Echo","Eco","concept",""
"결전","Showdown","決戦","决战","Entscheidungskampf","Enfrentamiento","concept","보스전. '결착'은 쓰지 않는다"
"주인","Master","主","主宰","Herr","Señor","concept","유적의 보스"
"비문","Inscription","碑文","碑文","Inschrift","Inscripción","concept",""
"석판","Stone Tablet","石板","石板","Steintafel","Tablilla de piedra","concept",""
"공명석","Resonance Stone","共鳴石","共鸣石","Resonanzstein","Piedra de resonancia","concept",""
"둥지","Lair","巣","巢穴","Hort","Guarida","concept","보스를 깨우는 곳"
"제단","Altar","祭壇","祭坛","Altar","Altar","concept",""
"공창","Foundry","工廠","工厂","Gießerei","Fundición","concept","지하 공창 — 세션 2 의 기계 유적"
"채취탑","Extraction Rig","採取塔","采集塔","Förderturm","Torre de extracción","concept",""
"운석","Meteor","隕石","陨石","Meteor","Meteoro","concept","떨어지는 사건. 아이템 '운석 조각'은 Meteorite Fragment"
"별빛 수정","Starlight Crystal","星光の結晶","星光水晶","Sternenlichtkristall","Cristal de luz estelar","item",""
"광상","Rich Deposit","鉱床","富矿","Reiche Ader","Veta rica","concept","드릴로 줄지 않는 광맥"
"광맥","Ore Vein","鉱脈","矿脉","Erzader","Veta de mineral","concept",""
"금 간 자갈","Cracked Gravel","ひび割れた砂利","开裂的碎石","Rissiger Kies","Grava agrietada","tile","캐면 숨은 동굴이 열린다"
"이끼 굴","Moss Cave","苔の洞","苔藓洞","Moosgrotte","Cueva de musgo","cave",""
"종유 동굴","Dripstone Cave","鍾乳洞","钟乳洞","Tropfsteinhöhle","Cueva de estalactitas","cave",""
